Sample	Engine	FDR	Accepted
MKK18	COMBINED	0.101	2728
MKK18	COMBINED	0.102	2728
MKK18	COMBINED	0.103	2730
MKK18	COMBINED	0.104	2740
MKK18	COMBINED	0.105	2740
MKK18	COMBINED	0.106	2747
MKK18	COMBINED	0.107	2747
MKK18	COMBINED	0.108	2748
MKK18	COMBINED	0.109	2750
MKK18	COMBINED	0.11	2750
MKK18	COMBINED	0.111	2750
MKK18	COMBINED	0.112	2820
MKK18	COMBINED	0.113	2820
MKK18	COMBINED	0.114	2820
MKK18	COMBINED	0.115	2821
MKK18	COMBINED	0.116	2821
MKK18	COMBINED	0.117	2821
MKK18	COMBINED	0.118	2836
MKK18	COMBINED	0.119	2836
MKK18	COMBINED	0.12	2842
MKK18	COMBINED	0.121	2842
MKK18	COMBINED	0.122	2845
MKK18	COMBINED	0.123	2845
MKK18	COMBINED	0.124	2845
MKK18	COMBINED	0.125	2921
MKK18	COMBINED	0.126	2921
MKK18	COMBINED	0.127	2921
MKK18	COMBINED	0.128	2921
MKK18	COMBINED	0.129	2921
MKK18	COMBINED	0.13	2926
MKK18	COMBINED	0.131	2929
MKK18	COMBINED	0.132	2946
MKK18	COMBINED	0.133	2946
MKK18	COMBINED	0.134	2982
MKK18	COMBINED	0.135	2982
MKK18	COMBINED	0.136	2990
MKK18	COMBINED	0.137	2994
MKK18	COMBINED	0.138	2999
MKK18	COMBINED	0.139	3001
MKK18	COMBINED	0.14	3011
MKK18	COMBINED	0.141	3013
MKK18	COMBINED	0.142	3013
MKK18	COMBINED	0.143	3143
MKK18	COMBINED	0.144	3143
MKK18	COMBINED	0.145	3143
MKK18	COMBINED	0.146	3143
MKK18	COMBINED	0.147	3143
MKK18	COMBINED	0.148	3143
MKK18	COMBINED	0.149	3144
MKK18	COMBINED	0.15	3163
MKK18	COMBINED	0.151	3163
MKK18	COMBINED	0.152	3165
MKK18	COMBINED	0.153	3168
MKK18	COMBINED	0.154	3213
MKK18	COMBINED	0.155	3213
MKK18	COMBINED	0.156	3213
MKK18	COMBINED	0.157	3215
MKK18	COMBINED	0.158	3243
MKK18	COMBINED	0.159	3243
MKK18	COMBINED	0.16	3244
MKK18	COMBINED	0.161	3244
MKK18	COMBINED	0.162	3246
MKK18	COMBINED	0.163	3246
MKK18	COMBINED	0.164	3246
MKK18	COMBINED	0.165	3246
MKK18	COMBINED	0.166	3246
MKK18	COMBINED	0.167	3471
MKK18	COMBINED	0.168	3471
MKK18	COMBINED	0.169	3471
MKK18	COMBINED	0.17	3471
MKK18	COMBINED	0.171	3471
